Year,Country Name,Country Code,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Diabetes prevalence (% of population ages 20 to 79),"Government expenditure on education, total (% of GDP)",Income share held by highest 10%,Income share held by lowest 10%,Income share held by second 20%,"Life expectancy at birth, total (years)",Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",population(in thousand),all_causes(in thousand),diabetes_mellitus(in thousand),%death by diabetes,alzheimer_and_other_dementia (in thousand),%death by alzheimer_and_other_dementia,cardiovascular_diseases (in thousand),%death by cardiovascular_diseases,asthma (in thousand),%death by asthma,kidney_diseases (in thousand),%death by kidney_diseases,Income_share_bottom 40%,Income_share_top 10%
2000,Comoros,COM,55.62357334,9.045888902,35.33053804,7.52074909,8.4,2.258419991,48.1,1.5,7.3,58.941,24.9,4.398,536.106,4.859588723,0.127178524,2.617063535,0.044286673,0.911325531,0.838873253,17.26222734,0.049077255,1.009905522,0.119180775,2.452486864,6.229000092,56.61899948
2010,Comoros,COM,51.64202775,10.22138918,38.13658221,4.99181557,8.4,4.42264986,48.1,1.5,7.3,62.747,17.3,4.248,654.856,4.695251833,0.146033562,3.11023917,0.056584481,1.205142616,0.822920138,17.52664538,0.040919841,0.871515356,0.140675098,2.996114005,7.281000137,49.93999863
2015,Comoros,COM,46.75768423,10.77297746,42.46933915,4.60089922,8.4,2.545059919,33.6,1.6,9.1,64.473,13.9,4.121,726.692,4.849443423,0.168437866,3.473344289,0.064942227,1.339168668,0.92776311,19.13133176,0.044131833,0.910039139,0.163459854,3.37069308,7.981999874,45.48699951
2019,Comoros,COM,44.07133812,11.24678304,44.68188009,5.18044472,8.4,2.545059919,33.6,1.6,9.1,65.662,13.4,3.934,786.6,5.089287748,0.186984263,3.674075273,0.073318593,1.440645465,1.012797154,19.90056772,0.044429499,0.873000327,0.180718536,3.55095928,7.981999874,45.48699951
2020,Comoros,COM,44.07133812,11.24678304,44.68188009,5.902421,8.4,2.378050804,33.6,1.6,9.1,65.756,13.9,4.471,802.187,5.139912196,0.199860078,3.888394798,0.077515494,1.508109304,1.072357202,20.86333699,0.045783346,0.890741794,0.192037431,3.736200615,7.981999874,45.48699951
2021,Comoros,COM,44.07133812,11.24678304,44.68188009,6.43369246,11.7,2.274853945,33.6,1.6,9.1,65.201,15.7,4.394,818.191,5.508620143,0.196689909,3.570583987,0.076882383,1.395674072,1.058109057,19.20824143,0.044944803,0.815899482,0.188479766,3.421542262,7.981999874,45.48699951
2000,Costa Rica,CRI,8.94153099,12.14191588,78.91655457,6.56498718,9.6,4.666950226,35.7,1.2,8.9,77.317,4.3,5.08,3937.742,14.21853496,0.328785528,2.312372748,0.0743178,0.522682539,4.417127033,31.06597863,0.080957377,0.569379174,0.432810457,3.043987709,12.77999973,36.09999847
2010,Costa Rica,CRI,6.921227173,11.83609699,81.24267531,8.02937698,9.6,6.565740108,36.8,1.6,8.5,79.354,3,7.171,4555.968,18.88101949,0.422774005,2.239148186,0.320415402,1.697023842,5.565905257,29.47883858,0.053233004,0.281939246,0.755402335,4.000855653,12.43900013,37.48600006
2015,Costa Rica,CRI,7.378651229,11.59661041,81.02473874,7.59196186,9.6,6.87349987,36.8,1.5,8.4,80.407,2.5,8.415,4818.046,21.20336352,0.620796368,2.927820237,0.498537826,2.351220483,5.899511242,27.82346884,0.048513365,0.228800326,0.895388331,4.222859877,12.02099991,37.20399857
2019,Costa Rica,CRI,7.128495366,10.87851142,81.99299074,7.2212491,9.6,6.738080025,36.7,1.6,8.4,80.296,2.5,10.807,4999.562,25.13954324,1.227133974,4.881289858,0.919928826,3.659290137,6.494164793,25.83246931,0.064264155,0.255629762,1.352152304,5.378587394,12.06999969,37.20999908
2020,Costa Rica,CRI,7.128495366,10.87851142,81.99299074,7.82545757,9.6,6.62898016,37,1.4,8.1,79.725,2.5,16.432,5034.326,26.87334673,1.62536698,6.048249206,0.833884401,3.103016565,6.123917563,22.78807185,0.06033614,0.224520377,1.507050945,5.607976409,12.26099968,36.73400116
2021,Costa Rica,CRI,7.128495366,10.87851142,81.99299074,7.61130476,8.8,6.248419762,37.2,1.6,8.2,78.05,2.5,15.139,5059.991,31.24678706,1.081986734,3.462713566,0.876359782,2.804639659,6.648502548,21.27739577,0.061793357,0.197759074,1.248956539,3.99707188,11.85000038,37.84999847
2000,Croatia,HRV,3.322309353,5.866549993,90.81114432,7.65291882,5.2,6.112708569,24.2,2.5,12.7,72.80780488,7,16.064,4326.106,47.75157928,0.791769055,1.65810025,0.263616731,0.552058665,25.07724133,52.51604599,0.121169683,0.253750107,0.560297428,1.173358946,20.88400078,24.78300095
2010,Croatia,HRV,1.684631635,5.538758783,92.77660933,7.96871901,5.2,4.216899872,23.9,2.4,12.9,76.47560976,2.5,11.62,4301.157,51.31689516,1.268419114,2.471737837,0.614646402,1.197746667,25.2711356,49.24525445,0.066487633,0.129562852,0.736756184,1.435699064,19.55200005,24.36199951
2015,Croatia,HRV,2.099964551,5.199483945,92.70055299,6.65469885,5.2,4.969085217,23.2,2.7,13.1,77.27560976,2.5,16.175,4183.729,52.88083014,1.45602086,2.753400158,0.931578273,1.761655916,25.19539195,47.64560596,0.053182934,0.100571292,0.817651255,1.546214863,19.84000015,23.98999977
2019,Croatia,HRV,3.396394081,5.065135554,91.53847078,6.7431674,5.2,3.920079947,22.2,3,13.7,78.22439024,2.5,6.617,3986.339,49.60344438,3.463135491,6.981643178,1.026924782,2.0702691,21.00132014,42.33843114,0.053383222,0.10761999,1.235631412,2.491019379,21.28199959,22.75200081
2020,Croatia,HRV,3.396394081,5.065135554,91.53847078,7.64949179,5.2,4.389019966,22.3,2.9,13.4,77.52439024,2.5,7.507,3953.964,54.5606071,4.045106284,7.413968612,1.125891624,2.063561393,21.66857411,39.71468659,0.09620606,0.176328794,1.236379357,2.266065983,21.64999962,22.23999977
2021,Croatia,HRV,3.396394081,5.065135554,91.53847078,8.01351929,4.8,4.056660175,22.3,3.1,13.6,76.42439024,2.5,7.608,3924.623,60.30402734,4.101097876,6.800703132,1.39946885,2.320688869,22.14558564,36.72322832,0.084721124,0.140489993,1.368351506,2.269088097,21.25200081,22.34199905
2000,Cuba,CUB,8.829674514,9.918279764,81.25204361,6.58189821,9.4,7.704810143,,,,75.922,2.5,5.45,11109.109,75.370558,1.060405683,1.406922956,1.630570208,2.163404718,30.60863755,40.61086765,0.215751003,0.28625369,0.816686673,1.083561929,13.83699989,39.29199982
2010,Cuba,CUB,7.226107169,7.74989039,85.02400031,10.6880827,9.4,12.83730984,,,,77.876,2.5,2.5,11297.412,91.09464465,1.669776016,1.833012273,3.911145352,4.29349647,35.93104455,39.44364094,0.261232554,0.286770485,1.656299464,1.818218261,13.83699989,39.29199982
2015,Cuba,CUB,8.434704862,7.898083011,83.66721348,12.81404305,9.4,8.963336945,,,,77.745,2.5,2.4,11275.058,99.63076522,1.295909326,1.300712008,5.117845763,5.136812662,36.46394637,36.59908291,0.250016052,0.25094262,1.87895439,1.885917854,13.83699989,39.29199982
2019,Cuba,CUB,9.215071855,7.477643283,83.30728506,11.08501148,9.4,9.046969414,,,,77.413,2.5,1.705,11202.844,108.4839826,1.275076079,1.17535884,5.375477297,4.955088454,39.67664483,36.57373547,0.334244912,0.308105311,2.228082244,2.053835221,13.83699989,39.29199982
2020,Cuba,CUB,9.215071855,7.477643283,83.30728506,12.48641968,9.4,9.046969414,,,,77.407,2.5,2.24,11176.359,111.7553462,1.540641003,1.378583715,5.490405699,4.912879683,43.55482774,38.97337283,0.268176819,0.239967776,2.590578633,2.318080272,13.83699989,39.29199982
2021,Cuba,CUB,9.215071855,7.477643283,83.30728506,13.78727913,7.6,9.38586235,,,,73.201,2.5,2.116,11122.173,168.1115224,1.611032542,0.958311791,5.828759444,3.46719806,49.34952888,29.35523287,0.315881454,0.187899943,2.63796567,1.569176004,13.83699989,39.29199982
2000,Cyprus,CYP,4.109694316,6.376492115,89.5138173,5.30800056,9.3,4.9895401,24.3,3.7,13,77.9,5.8,4.766,947.682,5.77903497,0.379063697,6.559290586,0.100961008,1.747021933,2.379315978,41.1715103,0.031564631,0.546192072,0.16889311,2.92251406,21.75799942,24.30800056
2010,Cyprus,CYP,3.827879151,5.724674637,90.44744628,6.50055742,9.3,6.525599957,25.7,3.6,12.8,80.632,3.6,6.359,1127.827,6.184012783,0.35481563,5.737627687,0.160835622,2.600829385,2.337664391,37.80173931,0.021876147,0.353753269,0.22256468,3.599033317,20.94199944,26.17300034
2015,Cyprus,CYP,4.459540398,4.815926395,90.72453507,6.79382181,9.3,6.304910183,27.5,3.2,12.1,81.464,2.5,15.026,1219.516,7.026452616,0.397399357,5.655760866,0.326529037,4.647139247,2.420170585,34.44370463,0.01191286,0.169543025,0.203409576,2.894911369,19.33799934,28.84700012
2019,Cyprus,CYP,4.791724617,5.346625435,89.86164863,7.06576538,9.3,5.212600231,25.5,3.5,12.8,81.454,2.5,7.155,1286.685,7.683421905,0.404646142,5.26648344,0.467832694,6.088858587,2.176495676,28.32716598,0.028093486,0.365637691,0.238693033,3.106598022,20.86800003,27.1970005
2020,Cyprus,CYP,4.791724617,5.346625435,89.86164863,8.76033878,9.3,5.636940002,26.3,3.6,12.8,81.23,2.5,7.755,1302.255,8.033214556,0.451403467,5.619213372,0.417865487,5.201721982,2.326335976,28.9589673,0.022183148,0.276142854,0.286831878,3.570574095,21.34799957,25.48699951
2021,Cyprus,CYP,4.791724617,5.346625435,89.86164863,9.47552109,8.6,5.235859871,25.7,3.5,12.8,80.573,2.5,7.513,1317.314,8.436370423,0.526297011,6.238429376,0.503922052,5.973209171,2.187708393,25.93186741,0.031548688,0.373960436,0.272960284,3.235518009,21.33200073,26.3029995
2000,Czechia,CZE,3.058366417,6.562047813,90.3795859,5.70103025,11.7,3.64034009,22.2,4.1,14.4,74.96829268,2.5,8.764,10236.809,107.3395618,1.254791615,1.168992675,0.523560672,0.487761141,56.22413238,52.37969248,0.151886017,0.1415005,1.40615268,1.310004118,24.125,22.37000084
2010,Czechia,CZE,4.566755395,5.511075775,89.9221699,7.55343866,11.7,4.033500195,22.4,3.7,14.5,77.42439024,2.5,7.281,10464.043,106.7437248,1.83259775,1.716820126,0.50075955,0.469123174,53.42745563,50.05208104,0.094799934,0.088810779,1.476757444,1.383460665,24.04299927,22.15299988
2015,Czechia,CZE,5.087458435,4.984689267,89.92785317,7.3351512,5.3,5.751820087,22.1,3.9,14.7,78.57804878,2.5,5.048,10524.421,111.1205518,3.588230248,3.229132857,2.942495127,2.648020622,51.02722899,45.9206044,0.13991888,0.125916293,1.174618654,1.057066974,24.08600044,22.39599991
2019,Czechia,CZE,5.827791344,4.775480923,89.39672369,7.61342955,5.3,4.542469978,21.5,4.2,14.5,79.22926829,2.5,2.015,10554.885,111.9890222,4.129196238,3.687143755,3.887306703,3.471149784,47.27316463,42.21232019,0.185224758,0.16539546,1.515406939,1.353174543,24.68199921,21.59199905
2020,Czechia,CZE,5.827791344,4.775480923,89.39672369,9.15721989,5.3,4.721590042,22.5,4,14.4,78.22682927,2.5,2.55,10550.132,128.7973121,4.879457572,3.788477798,4.522076153,3.511001962,50.78679648,39.43156551,0.194462842,0.150983618,1.749038867,1.35797777,24.40200043,21.59199905
2021,Czechia,CZE,5.827791344,4.775480923,89.39672369,9.45247459,7.1,4.803199768,22.2,3.9,14.4,77.22195122,2.5,2.803,10530.689,140.1754599,4.961636671,3.539590079,4.11748969,2.937382686,48.12802196,34.3341281,0.232776609,0.166060885,1.942127001,1.385497149,24.03199959,22.5720005
2000,Denmark,DNK,3.753193191,5.621128408,90.62567457,8.10438347,5.6,8.084340096,19.8,4.5,14.7,76.59268293,2.5,4.476,5339.658,57.04272781,1.343704297,2.355610169,1.401893915,2.457620749,20.92416549,36.68156537,0.187324084,0.328392577,0.614505324,1.077271981,25.07299995,20.18199921
2010,Denmark,DNK,6.600225016,3.565558884,89.83421578,10.60774708,5.6,8.559550285,22.5,3.7,14.1,79.1,2.5,7.746,5547.862,54.0180483,1.154836197,2.137871014,3.366393422,6.231978993,15.36492205,28.44405256,0.074919419,0.138693309,0.766495995,1.418962771,23.98200035,21.99200058
2015,Denmark,DNK,6.374280875,3.491012684,90.134706,10.34411812,5.6,7.0104146,23.8,3.7,13.9,80.70243902,2.5,6.278,5683.717,52.28045331,1.234594635,2.361484182,4.107853903,7.857341785,13.38880531,25.60958151,0.077043849,0.147366451,0.745664362,1.426277536,22.99399948,23.56100082
2019,Denmark,DNK,6.826140097,3.516020383,89.65784129,10.1524353,5.6,7.255050182,23.5,3.8,14,81.45121951,2.5,5.018,5814.623,53.5862658,1.176376523,2.195294831,4.873120391,9.093972716,12.19964033,22.76635654,0.07582068,0.141492749,0.822177582,1.534306543,22.70800018,23.79800034
2020,Denmark,DNK,6.826140097,3.516020383,89.65784129,10.71854591,5.6,7.383540154,22.9,3.7,14,81.60243902,2.5,5.637,5831.539,54.34378813,1.123211779,2.066863238,4.713678159,8.673812263,12.20943029,22.46702099,0.080016232,0.147240806,0.809242487,1.489116814,22.89999962,23.29000092
2021,Denmark,DNK,6.826140097,3.516020383,89.65784129,10.74728584,5.3,6.999929905,23.8,3.7,13.9,81.40487805,2.5,5.043,5856.78,57.02410938,1.183051858,2.074652057,5.298549598,9.291770894,12.70236828,22.27543476,0.093612915,0.164163747,0.824046855,1.445085007,22.72200012,24.01199913
2000,Djibouti,DJI,60.28279943,8.268097589,31.44910242,3.39641857,6.3,9.659999847,30.8,2.3,10.6,56.734,41.9,26.664,747.337,6.966690554,0.114960365,1.650143124,0.037850642,0.543308793,0.813952731,11.68349197,0.036937066,0.530195298,0.097635773,1.401465619,13.57600021,34.75099945
2010,Djibouti,DJI,51.20076291,8.901042211,39.89819426,3.35699701,6.3,4.49022007,30.8,2.3,10.6,60.743,19.9,26.371,930.258,7.673196678,0.179988309,2.345675684,0.05965547,0.777452643,1.07912364,14.06354725,0.042792828,0.557692315,0.163607922,2.132200292,13.10900021,35.58399963
2015,Djibouti,DJI,44.41257244,9.274712591,46.31271514,3.3475771,6.3,3.598949909,34,1.7,9.7,62.833,13.2,26.07,1020.334,7.875217448,0.243809675,3.095910387,0.080413176,1.021091496,1.41437942,17.95987768,0.051203407,0.650184046,0.222933421,2.830822415,13.63399982,35.17699814
2019,Djibouti,DJI,37.41382335,10.8115461,51.77463003,2.40641236,6.3,3.751430035,32.3,1.9,10.4,64.381,11.9,26.256,1088.734,8.0358841,0.292021372,3.633966943,0.099162833,1.23400029,1.653223842,20.57301749,0.055411104,0.68954583,0.267317894,3.326552388,14.07199955,34.51900101
2020,Djibouti,DJI,37.41382335,10.8115461,51.77463003,2.32228446,6.3,3.751430035,32.3,1.9,10.4,64.2,11.9,27.713,1105.2,8.403123661,0.314479674,3.742413974,0.107890469,1.283932896,1.767991303,21.03969159,0.056541134,0.672858528,0.284963829,3.391165477,14.07199955,34.51900101
2021,Djibouti,DJI,37.41382335,10.8115461,51.77463003,2.88669515,7.4,3.751430035,32.3,1.9,10.4,63.83,12.3,27.668,1121.266,8.868635089,0.311770722,3.515430718,0.106338292,1.199037855,1.736724942,19.58277599,0.055550985,0.626375813,0.283620712,3.19801987,14.07199955,34.51900101
2000,Dominican Republic,DOM,34.9020465,13.60124188,51.49671149,4.88427496,8.1,1.888290048,40.2,1.2,7.7,70.365,20.5,6.432,8584.202,39.23453017,0.892583835,2.274995599,0.562093801,1.432650775,9.160981968,23.34928424,0.254972936,0.649868711,0.669429292,1.706224819,11.75,40.02999878
2010,Dominican Republic,DOM,21.81095657,13.8254968,64.36354434,4.92355442,8.1,1.887287855,36.5,1.8,8.5,72.039,13.5,5.212,9820.18,49.19981906,1.463586472,2.974780193,0.826378557,1.679637391,13.97003016,28.39447466,0.256458168,0.521258356,1.222914671,2.485608067,12.88899994,37.10599899
2015,Dominican Republic,DOM,15.53286271,11.8261361,72.64100118,4.72216797,8.1,3.604002714,34.8,1.9,9.3,72.982,7.4,7.605,10434.836,57.61961062,2.027410306,3.518611605,1.010137503,1.753114074,18.07136137,31.36321328,0.329157509,0.571259517,1.738273546,3.016808908,14,35.40000153
2019,Dominican Republic,DOM,12.57576408,15.48988619,71.93434883,4.23948717,8.1,4.042768955,33.1,2.3,10.1,73.112,6.3,6.356,10894.044,61.12260708,2.356899047,3.856018518,1.145826499,1.874636168,19.59760335,32.06277397,0.340431453,0.556964877,1.974011173,3.229592563,15.47799969,34.17699814
2020,Dominican Republic,DOM,12.57576408,15.48988619,71.93434883,4.93967104,8.1,4.517698288,30.4,2.4,10.7,72.636,6.2,6.126,11008.303,64.60728857,2.541496575,3.933761393,1.185451973,1.834857954,21.40775752,33.13520501,0.331081565,0.512452344,2.059050006,3.18702433,16.47999954,31.20000076
2021,Dominican Republic,DOM,12.57576408,15.48988619,71.93434883,4.91807747,10.5,3.747313499,30.2,2.6,11.1,71.757,5.8,7.702,11123.483,67.38819864,2.410897407,3.577625543,1.172172237,1.739432514,19.87549554,29.49403002,0.315302975,0.467890494,1.934508964,2.870693983,17.01799965,30.72699928
2000,Ecuador,ECU,23.13807179,14.48963222,62.37229569,3.4825685,6.6,1.202659965,45.9,1,6.9,72.09,20.1,4.8,12689.213,63.45798191,2.135455186,3.365148279,0.11289017,0.17789751,14.1057638,22.22850992,0.14442713,0.227594899,3.841225869,6.053179999,10.81999969,46.13999939
2010,Ecuador,ECU,14.55844666,15.51290996,69.92864213,6.34925699,6.6,4.600289822,37.5,1.4,8.4,75.188,11.5,4.088,15076.7,72.88533133,3.255579592,4.466714403,0.270774183,0.371507103,16.03843547,22.00502512,0.100727423,0.138199856,4.736153696,6.498088998,12.93099976,38.60400009
2015,Ecuador,ECU,13.40182838,12.76846684,73.8297049,7.76786041,6.6,5.105700016,34.9,1.6,9.1,76.222,8.5,3.616,16266.222,72.92052109,3.510476324,4.814113052,0.54334349,0.745117399,18.14621809,24.88492651,0.065088944,0.089260119,4.344842571,5.958326279,14.0010004,35.87400055
2019,Ecuador,ECU,12.33679297,11.45970607,76.20350262,7.80768251,6.6,4.245779991,34.5,1.6,9.1,77.286,12.6,3.812,17340.029,80.04950371,3.639785193,4.546917875,0.775929914,0.969312586,21.85610166,27.30323194,0.049811284,0.0622256,4.327454969,5.405973515,14.06000042,35.09000015
2020,Ecuador,ECU,12.33679297,11.45970607,76.20350262,8.6576252,6.6,4.261030197,36,1.3,8.9,72.004,13.6,6.127,17546.068,128.4628639,5.120865668,3.986261487,0.87456383,0.680791166,30.2544875,23.55115446,0.100578533,0.078293858,6.099686183,4.748209715,14.05099964,36.98400116
2021,Ecuador,ECU,12.33679297,11.45970607,76.20350262,8.20646191,4.4,3.647769928,34.7,1.6,9,72.746,14,4.552,17682.461,116.2159841,4.15680168,3.576789985,0.852923621,0.733912488,30.04914847,25.85629567,0.071301909,0.061352928,5.687597911,4.893989373,14.11900043,36.89599991
2000,El Salvador,SLV,21.6329059,22.84832309,55.51876936,7.84342813,9.4,2.838680029,39,1,7.8,67.711,6.7,6.96,5943.375,29.96615018,1.059496341,3.535643832,0.517278669,1.72620996,5.229911587,17.45273102,0.186460335,0.622236535,1.633591775,5.451456944,11.37100029,38.29399872
2010,El Salvador,SLV,15.07205503,20.44770101,64.48024256,8.90416241,9.4,4.048079967,33.2,1.9,9.6,70.909,9.2,4.893,6068.256,32.31321571,1.691209333,5.23380077,0.895647749,2.771769163,6.704927421,20.74979934,0.147013424,0.454963769,2.988521414,9.248604164,13.84000015,34.34999847
2015,El Salvador,SLV,15.41596092,19.69901074,64.8850274,8.75833225,9.4,3.909879923,31.8,2.4,10.5,70.952,9.2,3.998,6183.689,39.23425501,2.25496402,5.747436825,1.004110437,2.559269792,8.456042494,21.5527031,0.150348743,0.383207845,4.027505783,10.26527911,15.57800007,33.05699921
2019,El Salvador,SLV,15.7989247,19.09348348,65.10758747,8.80846119,9.4,3.387109995,29.8,2.4,10.8,71.725,6.9,4.17,6222.333,36.79642437,2.250271889,6.115463466,0.971401645,2.639934891,7.729190249,21.00527532,0.129481916,0.351887224,3.791713092,10.30456942,16.18000031,30.88999939
2020,El Salvador,SLV,15.7989247,19.09348348,65.10758747,8.95105076,9.4,3.660880089,29.8,2.4,10.8,70.244,6.6,5.008,6234.679,45.16390908,2.259353329,5.002563718,1.098600657,2.432474689,8.14625931,18.0370997,0.132787297,0.294011967,3.857084422,8.540191716,15.28800011,31.95700073
2021,El Salvador,SLV,15.7989247,19.09348348,65.10758747,10.12668991,6.3,3.577660084,29,1.9,10.9,69.941,7.1,4.327,6255.789,46.49271578,2.240717057,4.819501333,1.060253678,2.280472673,7.841024578,16.86506036,0.128280096,0.275914395,3.767027126,8.102402845,16.5,28.97999954
2000,Equatorial Guinea,GNQ,63.90639641,5.845778567,30.24782491,1.10719955,4.2,,,,,53.395,,7.955,703.299,9.410701029,0.154866142,1.645638742,0.053284957,0.566216661,1.131423895,12.02273765,0.062653072,0.665764136,0.121226621,1.288178433,8.119000435,39.36999893
2010,Equatorial Guinea,GNQ,62.85865725,6.45267608,30.68866692,1.62134743,4.2,,,,,58.344,,8.07,1189.101,11.75364769,0.239600941,2.038524099,0.088497726,0.752938389,1.306880341,11.1189341,0.054347049,0.462384537,0.206239656,1.754686387,8.119000435,39.36999893
2015,Equatorial Guinea,GNQ,59.95985025,7.279745464,32.76040283,2.34058237,4.2,,,,,60.635,,7.95,1453.938,13.33577714,0.301521397,2.260996069,0.100587456,0.754267674,1.447130037,10.85148636,0.052335102,0.392441339,0.272015829,2.039744866,8.119000435,39.36999893
2019,Equatorial Guinea,GNQ,59.50939333,7.709717115,32.78088753,3.16780853,4.2,,,,,62.297,,8.064,1670.194,14.90489625,0.416064361,2.79146097,0.12040728,0.807837087,1.908745853,12.80616665,0.061629083,0.413482134,0.372827519,2.501376144,8.119000435,39.36999893
2020,Equatorial Guinea,GNQ,59.50939333,7.709717115,32.78088753,3.99582434,4.2,,,,,62.141,,8.781,1716.492,15.54836463,0.449662253,2.89202282,0.129950642,0.835783343,2.043607851,13.14355496,0.061916322,0.398217583,0.388128947,2.496268618,8.119000435,39.36999893
2021,Equatorial Guinea,GNQ,59.50939333,7.709717115,32.78088753,3.39468098,5.5,,,,,62.447,,8.976,1758.806,15.52197495,0.444806296,2.865655288,0.126806385,0.816947491,2.01378992,12.97379957,0.059371345,0.382498654,0.379287055,2.443548942,8.119000435,39.36999893
2000,Eritrea,ERI,51.30065484,11.98642379,36.71292238,5.76670074,3.6,4.047160149,,,,56.285,,5.608,2247.05,26.48452602,0.625394356,2.361357554,0.118123696,0.446010233,4.090668522,15.44550398,0.265291142,1.001683557,0.441688709,1.66772367,10.39799976,43.0340004
2010,Eritrea,ERI,46.521683,10.65732255,42.82099452,4.81866503,3.6,2.127000093,,,,63.665,,5.675,2945.196,26.62221237,0.844554577,3.172368116,0.198915949,0.747180385,4.996490442,18.7681263,0.276597311,1.038971918,0.598264795,2.24723921,10.39799976,43.0340004
2015,Eritrea,ERI,42.21488477,11.21307176,46.57204447,4.50776815,3.6,2.127000093,,,,65.909,,5.541,3105.56,25.65454125,0.913192232,3.559573424,0.239501841,0.933565089,5.32852361,20.77029388,0.267774524,1.043770462,0.650984955,2.537503784,10.39799976,43.0340004
2019,Eritrea,ERI,38.64450538,11.87730724,49.47818666,4.64806461,3.6,2.127000093,,,,67.306,,5.552,3240.198,25.6953209,0.994891118,3.871876604,0.286205921,1.113844508,5.725854884,22.28364808,0.266287043,1.036325035,0.713797551,2.777928143,10.39799976,43.0340004
2020,Eritrea,ERI,38.64450538,11.87730724,49.47818666,4.31046677,3.6,2.127000093,,,,66.98,,6.088,3291.28,26.48083035,1.038232411,3.920694318,0.30319949,1.144977275,5.941199615,22.43585091,0.267768615,1.011179074,0.745272673,2.814385588,10.39799976,43.0340004
2021,Eritrea,ERI,38.64450538,11.87730724,49.47818666,4.17839003,6.5,2.127000093,,,,66.94,,6.177,3350.197,27.40537883,1.067778067,3.896235384,0.315744429,1.152125761,6.082409338,22.19421733,0.275826476,1.006468392,0.765206701,2.792177059,10.39799976,43.0340004
2000,Estonia,EST,3.02900568,9.59249209,87.37850107,5.17029095,7,5.339459896,28.4,2,11.9,70.41707317,3.6,13.36,1397.003,18.40750556,0.094917007,0.515642961,0.043209611,0.234739092,10.62480343,57.71995232,0.059362757,0.322492133,0.18713228,1.016608577,18.52199936,28.65299988
2010,Estonia,EST,2.049327665,5.944729752,92.00594059,6.59433842,7,5.517789841,24.3,2.5,13.2,75.42926829,2.5,16.707,1331.457,15.77908859,0.09972783,0.632025287,0.112054879,0.710147984,8.906189813,56.44299267,0.045972411,0.291350231,0.145678613,0.923238451,20.5340004,24.32699966
2015,Estonia,EST,2.774989345,4.387230931,92.83778219,6.64135027,7,5.144189835,24.4,2.7,12.5,77.5902439,2.5,6.412,1314.584,15.23076198,0.09524025,0.625315073,0.142837373,0.937821582,8.126518423,53.35595443,0.032864051,0.215774175,0.127195464,0.835122128,19.53700066,25.4279995
2019,Estonia,EST,3.582599329,4.222513552,92.19489098,6.81699181,7,5.260419846,23.3,3,12.9,78.64634146,2.5,4.514,1326.831,15.17191123,0.182790691,1.204796737,0.204951692,1.350862714,7.740570157,51.01908413,0.024203089,0.159525646,0.140854421,0.928389433,20.80400085,22.52300072
2020,Estonia,EST,3.582599329,4.222513552,92.19489098,7.57906437,7,5.52696991,23.5,3,13,78.59512195,2.5,6.956,1329.678,15.70178734,0.247221339,1.574478969,0.246290587,1.568551283,7.771020209,49.49130976,0.016212988,0.103255683,0.186604103,1.188425871,20.90399933,23.35300064
2021,Estonia,EST,3.582599329,4.222513552,92.19489098,7.47860336,6.5,5.26320982,24.3,3.1,12.3,76.94390244,2.5,6.178,1331.758,18.48830392,0.276116145,1.4934639,0.247510151,1.338739088,8.472272563,45.82503945,0.028512156,0.154217263,0.216366692,1.170289567,21.01600075,23.54500008
2000,Eswatini,SWZ,62.61150657,8.664652627,28.72383893,4.60951757,3.1,5.508480072,44.1,1.8,7.5,47.627,10.4,24.502,1041.438,15.85928622,0.311750342,1.965727445,0.038691674,0.243968573,1.12423264,7.088797212,0.107250461,0.676262851,0.166945861,1.052669448,6.513000011,54.13600159
2010,Eswatini,SWZ,51.41137832,10.39874062,38.18988177,8.5912571,3.1,6.118370056,40,1.5,7.5,48.331,21,26.736,1111.664,18.66138584,0.616438384,3.303282991,0.053668629,0.287591874,1.902312304,10.19384263,0.184492728,0.988633583,0.328828082,1.762077507,6.532999992,50.38899994
2015,Eswatini,SWZ,46.19155764,11.44159332,42.36684662,7.05855274,3.1,5.35494709,40,1.5,7.5,54.941,15.8,23.285,1142.822,15.37731879,0.62407016,4.058380845,0.061337194,0.398880939,1.851026684,12.03738252,0.15060996,0.979429264,0.309142687,2.010380947,5.926000118,51.91699982
2019,Eswatini,SWZ,42.07940293,12.05825848,45.86233995,8.40033817,3.1,5.699148178,42.7,1.4,6.8,59.85,11.6,28.138,1179.892,13.97546141,0.755860448,5.408482952,0.07587227,0.542896354,2.189234583,15.66484654,0.168472312,1.205486579,0.3810785,2.726768645,5.683000088,52.52799988
2020,Eswatini,SWZ,42.07940293,12.05825848,45.86233995,7.07603502,3.1,5.360104561,42.7,1.4,6.8,59.862,11.3,32.944,1192.748,14.3213015,0.805645781,5.625506741,0.082872778,0.578667926,2.272715803,15.86947809,0.165091274,1.152767255,0.387575297,2.706285435,5.683000088,52.52799988
