Year,Country Name,Country Code,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Diabetes prevalence (% of population ages 20 to 79),"Government expenditure on education, total (% of GDP)",Income share held by highest 10%,Income share held by lowest 10%,Income share held by second 20%,"Life expectancy at birth, total (years)",Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",population(in thousand),all_causes(in thousand),diabetes_mellitus(in thousand),%death by diabetes,alzheimer_and_other_dementia (in thousand),%death by alzheimer_and_other_dementia,cardiovascular_diseases (in thousand),%death by cardiovascular_diseases,asthma (in thousand),%death by asthma,kidney_diseases (in thousand),%death by kidney_diseases,Income_share_bottom 40%,Income_share_top 10%
2015,Bhutan,BTN,21.48065955,9.087785137,69.43155558,3.48926425,5.7,5.782699108,30.7,2.7,10.8,70.797,,2.45,740.643,3.924452698,0.135182316,3.444615764,0.072757865,1.853962073,1.058763591,26.97863047,0.061620512,1.570168285,0.090926346,2.316917866,11.28199959,38.36800003
2019,Bhutan,BTN,18.21093733,9.045744661,72.74331953,3.37511158,5.7,4.509827614,27.9,2.7,10.8,72.005,,2.72,764.841,3.977343404,0.148214044,3.726458327,0.079544486,1.999940099,1.088463985,27.36660816,0.060731959,1.526947832,0.099291847,2.496436358,12.77600002,35.80899811
2020,Bhutan,BTN,18.21093733,9.045744661,72.74331953,4.08451509,5.7,5.543412685,27.9,2.7,10.8,72.253,,5.03,770.027,3.856094264,0.14737776,3.821943918,0.075780957,1.965225742,1.080148109,28.01145499,0.058466217,1.516202995,0.100119847,2.596405592,13.52299976,34.96900177
2021,Bhutan,BTN,18.21093733,9.045744661,72.74331953,3.0729053,10.4,6.598386288,27.9,2.7,10.8,72.448,,4.803,775.466,3.784714265,0.145209339,3.836731876,0.075581555,1.997021421,1.054314296,27.85717025,0.057104197,1.508811323,0.09915801,2.619960256,14.27000046,34.13000107
2000,Bosnia and Herzegovina,BIH,3.163068492,6.266563243,90.57036739,7.98265457,7.5,3.314739704,24.7,3.6,13.3,75.292,3.5,25.187,4159.778,29.86403833,0.888995445,2.976809216,0.622621709,2.084854374,15.06030041,50.42955089,0.078769852,0.263761555,0.428484612,1.434784564,20.97200012,26.31299973
2010,Bosnia and Herzegovina,BIH,2.124678615,4.531219164,93.34410187,9.01888275,7.5,3.314739704,25.1,3,12.2,76.827,2.5,27.312,3811.482,36.73562111,1.975559212,5.377775445,1.063313306,2.894502049,18.69213176,50.88285209,0.071732526,0.195266948,0.63032059,1.715829406,17.24600029,26.00799942
2015,Bosnia and Herzegovina,BIH,1.931847869,4.198070087,93.87008008,9.24086571,7.5,3.018112898,25.1,2.9,12.3,77.073,2.5,27.695,3518.543,41.3789005,2.308816377,5.579694843,1.39671388,3.375425308,21.84653809,52.79632331,0.072272353,0.174659915,0.735759852,1.778103921,17.25499916,26.01199913
2019,Bosnia and Herzegovina,BIH,1.809747742,3.766587803,94.42366335,8.92544365,7.5,4.044499874,25.1,2.9,12.3,77.394,2.5,15.692,3345.539,44.08822726,2.450653389,5.558521042,1.562515445,3.544065031,23.65927707,53.66348012,0.071678054,0.162578672,0.813375854,1.844882193,17.25499916,26.01199913
2020,Bosnia and Herzegovina,BIH,1.809747742,3.766587803,94.42366335,9.70311832,7.5,3.019540787,25.1,2.9,12.3,76.04,2.5,15.868,3299.357,52.60572296,2.516548404,4.783792071,1.648482937,3.133657033,24.6823833,46.91957815,0.072327475,0.137489746,0.836325905,1.589800231,17.25499916,26.01199913
2021,Bosnia and Herzegovina,BIH,1.809747742,3.766587803,94.42366335,9.55514336,9.1,4.136229992,25.1,2.9,12.3,74.567,2.5,14.897,3244.91,56.49472739,2.504721698,4.43354949,1.683630067,2.980154335,23.90089397,42.30641526,0.06961872,0.123230474,0.82086197,1.452988638,17.25499916,26.01199913
